name,swing precision,swing recall,swing fscore,woba
 Paul Goldschmidt,0.6672077922077922,0.6194423511680482,0.6424384525205159,0.39
 Derek Holland,0.660377358490566,0.6363636363636364,0.6481481481481481,0.068
 Marwin Gonzalez,0.6371049949031601,0.6139489194499018,0.6253126563281641,0.318
 Sandy Leon,0.6593406593406593,0.6463195691202872,0.6527651858567542,0.227
 Adrian Sanchez,0.7117117117117117,0.7523809523809524,0.7314814814814815,0.275
 Francisco Pena,0.6,0.7241379310344828,0.65625,0.215
 Jose Altuve,0.6550695825049702,0.6800825593395253,0.6673417721518986,0.363
 Cesar Hernandez,0.7644483362521891,0.5862995298858295,0.6636259977194983,0.32
 Jean Segura,0.6703703703703704,0.6642201834862386,0.6672811059907835,0.327
 Francisco Arcia,0.6571428571428571,0.6934673366834171,0.6748166259168704,0.277
 Starlin Castro,0.7006311992786294,0.6502092050209205,0.6744791666666666,0.315
 Starling Marte,0.6793831168831169,0.7581521739130435,0.7166095890410958,0.337
 Jose Pirela,0.6791767554479419,0.6324689966178129,0.6549912434325744,0.283
 Chad Bettis,0.696969696969697,0.5411764705882353,0.609271523178808,0.112
 Jabari Blash,0.75,0.69,0.71875,0.163
 Madison Bumgarner,0.6219512195121951,0.68,0.6496815286624205,0.165
 Juan Centeno,0.6785714285714286,0.5588235294117647,0.6129032258064516,0.197
 Charlie Culberson,0.6477093206951027,0.7256637168141593,0.6844741235392321,0.335
 Daniel Descalso,0.76775956284153,0.6527293844367015,0.7055869428750785,0.341
 Derek Dietrich,0.6727772685609532,0.7057692307692308,0.688878460816518,0.326
 Josh Donaldson,0.7146739130434783,0.6477832512315271,0.6795865633074936,0.345
 Freddie Freeman,0.7065584854631508,0.8273950910530483,0.762217359591539,0.378
 Yasmani Grandal,0.7383512544802867,0.575955265610438,0.6471204188481675,0.352
 Matt Harvey,0.72,0.631578947368421,0.6728971962616822,0.089
 Jason Heyward,0.6730769230769231,0.6407322654462243,0.6565064478311842,0.319
 Pete Kozma,0.7518796992481203,0.6666666666666666,0.7067137809187278,0.249
 DJ LeMahieu,0.7294633077765608,0.5957066189624329,0.6558345642540621,0.322
 Jonathan Lucroy,0.7053455019556715,0.5749202975557917,0.6334894613583137,0.271
 Devin Mesoraco,0.716796875,0.6872659176029963,0.7017208413001912,0.302
 Mitch Moreland,0.7084870848708487,0.7236180904522613,0.7159726538222498,0.325
 Mike Moustakas,0.6526994359387591,0.7251566696508505,0.6870229007633588,0.329
 Anthony Rizzo,0.6698275862068965,0.6797900262467191,0.6747720364741641,0.359
 Austin Romine,0.6477732793522267,0.6652806652806653,0.6564102564102565,0.307
 Jake Smolinski,0.7361111111111112,0.6385542168674698,0.6838709677419356,0.168
 Eric Sogard,0.7542857142857143,0.5689655172413793,0.6486486486486487,0.194
 Steven Souza Jr.,0.7302231237322515,0.6728971962616822,0.7003891050583657,0.299
 Giancarlo Stanton,0.6360879454131918,0.6637658227848101,0.6496322106078204,0.36
